,MSOA_code
0,E02001329
1,E02001331
2,E02001332
3,E02001336
4,E02001343
5,E02001344
6,E02001345
7,E02001346
8,E02001327
9,E02001328
10,E02001330
11,E02001333
12,E02001334
13,E02001335
14,E02001337
15,E02001338
16,E02001339
17,E02001340
18,E02001341
19,E02001342
